id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
146569053,2023-01-01,2023-01-01 14:25:08 UTC,Gavia immer,Common Loon,4626
146712864,2023-01-16,2023-01-16 20:54:55 UTC,Branta canadensis,Canada Goose,7089
146716140,2023-01-16,2023-01-16 21:37:00 UTC,Passer domesticus,House Sparrow,13858
146716918,2023-01-16,2023-01-16 20:55:53 UTC,Cygnus olor,Mute Swan,6921
146735485,2023-01-16,2023-01-16 19:31:39 UTC,Columba livia domestica,Feral Pigeon,122767
146796479,2023-01-17,2023-01-17 21:16:00 UTC,Aythya americana,Redhead,7056
147030519,2023-01-21,2023-01-21 15:23:00 UTC,Turdus migratorius,American Robin,12727
147030520,2023-01-21,2023-01-21 15:23:00 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
147030522,2023-01-21,2023-01-21 15:23:00 UTC,Poecile atricapillus,Black-capped Chickadee,144815
147130309,2023-01-22,2023-01-22 19:12:28 UTC,Passer domesticus,House Sparrow,13858
147135721,2023-01-22,2023-01-22 20:07:00 UTC,Melospiza melodia,Song Sparrow,9100
147135723,2023-01-22,2023-01-22 20:07:00 UTC,Cygnus olor,Mute Swan,6921
147281013,2023-01-24,2023-01-24 18:05:00 UTC,Cygnus olor,Mute Swan,6921
147324106,2023-01-25,2023-01-25 12:43:00 UTC,Melospiza melodia,Song Sparrow,9100
147324107,2023-01-25,2023-01-25 12:43:00 UTC,Haliaeetus leucocephalus,Bald Eagle,5305
147324108,2023-01-25,2023-01-25 12:43:00 UTC,Baeolophus bicolor,Tufted Titmouse,13632
147338554,2023-01-25,2023-01-25 17:08:20 UTC,Cygnus olor,Mute Swan,6921
147339354,2023-01-25,2023-01-25 17:48:39 UTC,Poecile atricapillus,Black-capped Chickadee,144815
147345951,2023-01-25,2023-01-25 20:04:25 UTC,Branta canadensis,Canada Goose,7089
147478700,2023-01-27,2023-01-27 19:31:08 UTC,Bucephala albeola,Bufflehead,6993
147606272,2023-01-28,2023-01-28 14:06:54 UTC,Turdus migratorius,American Robin,12727
147606328,2023-01-28,2023-01-28 14:07:11 UTC,Cyanocitta cristata,Blue Jay,8229
147632192,2023-01-28,2023-01-28 17:19:19 UTC,Meleagris gallopavo,Wild Turkey,906
147633114,2023-01-29,2023-01-29 18:37:16 UTC,Cygnus olor,Mute Swan,6921
147656107,2023-01-29,2023-01-29 20:57:19 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
147696842,2023-01-29,2023-01-29 19:33:07 UTC,Lophodytes cucullatus,Hooded Merganser,7109
147714986,2023-01-30,2023-01-30 20:17:00 UTC,Oxyura jamaicensis,Ruddy Duck,850859
147715138,2023-01-30,2023-01-30 20:15:00 UTC,Aythya americana,Redhead,7056
147715720,2023-01-30,2023-01-30 20:52:00 UTC,Gavia immer,Common Loon,4626
147746716,2023-01-30,2023-01-30 12:41:40 UTC,Meleagris gallopavo,Wild Turkey,906
147780139,2023-01-30,2023-01-30 20:03:23 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
147780368,2023-01-31,2023-01-31 19:18:39 UTC,Meleagris gallopavo,Wild Turkey,906
147809757,2023-01-31,2023-01-31 20:16:59 UTC,Accipiter cooperii,Cooper's Hawk,5112
147837486,2023-02-01,2023-02-01 17:24:34 UTC,Lophodytes cucullatus,Hooded Merganser,7109
